Name,Price,Image,URL,Description,Specification
SAMSUNG 11KG AI FRONT LOAD WASHING MACHINE: WW11CG604DLB,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2026/02/Stylish-Designs-Accessories-for-Your-Beloved-Dog-1.png,https://samsutech.net/product/samsung-11kg-ai-front-load-washing-machine-ww11cg604dlb/,SAMSUNG 11KG AI FRONT LOAD WASHING MACHINE: WW11CG604DLB,11KG WASHING CAPACITY; AI CONTROL PANEL DISPLAY; SMART WIFI EMBEDDED; SMART THINGS APP SUPPORT; BUBBLE TECHNOLOGY; CHILD LOCK; DIT MOTOR; SWIRL + DRUM TYPE; SPIN SPEED 1400RPM; 15 MINUTE QUICK WASH; CARVED BLACK DOOR + SILVER DECOR; BLACK CAVIAR BODY COLOUR; NET DIMENSION (W X H X D)600 X 850 X 600 MM; BARCODE: 8806095557243
SAMSUNG AI WASHING MACHINE: WW10DG6U94LBN,"KSh99,990.00",https://samsutech.net/wp-content/uploads/2026/02/Stylish-Designs-Accessories-for-Your-Beloved-Dog.png,https://samsutech.net/product/samsung-ai-washing-machine-ww10dg6u94lbn/,SAMSUNG AI WASHING MACHINE: WW10DG6U94LBN,SAMSUNG WASHING MACHINE; 10 KG WASHING CAPACTIY; 1400 RPM SPIN SPEED; AI CONTROL PANEL; DIGITAL INVERTER TECHNOLOGY MOTOR; AI ECO BUBBLE TECHNOLOGY; CHILD LOCK; 2 ND GENERATION DIAMOND DRUM; 15 MINUTE QUICK WASH; WIFI EMBEDDED; SMART THINGS APP SUPPORT; BLACK CARVED DOOR + SILVER DECO; BODY COLOR: BLACK; NETT DIMENSIONS (WXHXD) 600X850X595MM; BARCODE: 8806097356103
SAMSUNG 22KG/11KG WASHER/DRYER: WD90F22BCSNQ,"KSh239,990.00",https://samsutech.net/wp-content/uploads/2025/12/Untitled-design.png,https://samsutech.net/product/samsung-22-kg-washer-dryer-wd90f22bcsnq/,SAMSUNG 22KG/11KG WASHER/DRYER: WD90F22BCSNQ,SAMSUNG WASHER DRYER; • 22 KG WASHING CAPACITY; • 11 KG DRYING CAPACITY; • 1100 RPM SPIN SPEED; • 7” COLOR LCD CONTROL PANEL; • DIRECT DRIVE INVERTER TECHNOLOGY MOTOR; • AI WASH; • AI ECO BUBBLE TECHNOLOGY; • SWIRL PLUS DRUM TYPE; • QUICK WASH; • WIFI EMBEDDED; • SMART THINGS APP SUPPORT; • BLACK DECO DOOR + GLASS; • BODY COLOR: DARK STEEL; • NETT DIMENSIONS (WXHXD); 686X984X796MM; BARCODE: 8806097356035
SAMSUNG 65″ 4K UHD LED TV: UA65U8000FU,"KSh89,990.00",https://samsutech.net/wp-content/uploads/2025/10/Untitled-design.png,https://samsutech.net/product/samsung-65-4k-uhd-led-tv-ua65u8000fu/,SAMSUNG 65″ 4K UHD LED TV: UA65U8000FU,"SAMSUNG 4K UHD LED TV; • 3,840 X 2,160 4K UHD RESOLUTION; • 60Hz MOTION REFRESH RATE; • CRYSTAL 4K PROCESSOR; • HDR 10+ SUPPORT; • 4K AI UPSCALING; • MEGA CONTRAST; • MOTION XCELERATOR TECHNOLOGY; • COLOR BOOSTER; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH; • METAL STREAM DESIGN; • BASIC FEET STAND TYPE; • 3 X HDMI + 1 X USB; • 1 X ETHERNET (LAN); Barcode: 8806097198819"
SAMSUNG 100″ 4K NEO Q LED TV: QA100QN80FU,"KSh649,990.00",https://samsutech.net/wp-content/uploads/2025/09/images.jpg,https://samsutech.net/product/samsung-4k-neo-q-led-tv-qa100qn80fu/,SAMSUNG 100″ 4K NEO Q LED TV: QA100QN80FU,"SAMSUNG 4K NEO Q LED TV; • 3,840 X 2,160 4K RESOLUTION; • 100Hz MOTION REFRESH RATE; • NQ4 AI Gen2 PROCESSOR; • NEO QUANTUM HDR+ SUPPORT; • 4K AI UPSCALING; • QUANTUM MATRIX TECHNOLOGY CORE; CONTRAST; • SUPREME UHD MICRO DIMMING; • MOTION XCELERATOR 144Hz TECHNOLOGY; • COLOR BOOSTER PRO; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH & WIFI; • 4 X HDMI + 2 X USB; • 1 X ETHERNET (LAN); • SIMPLE CHAMFER DESIGN; • METAL LINEAR STAND TYPE; BARCODE: 8806097003212"
SAMSUNG 83″ 4K QUANTUM HDR O LED TV : QA83S85FAE,"KSh549,990.00",https://samsutech.net/wp-content/uploads/2025/07/images.jpg,https://samsutech.net/product/samsung-83%e2%80%b3-4k-quantum-hdr-o-led-tv-qa83s85fae/,SAMSUNG 83″ 4K QUANTUM HDR O LED TV : QA83S85FAE,"SAMSUNG 4K O LED TV; • 3,840 X 2,160 4K RESOLUTION; • 100Hz MOTION REFRESH RATE; • NQ4 AI GEN2 PROCESSOR; • OLED HDR 10+ SUPPORT; • AUTO HDR REMASTERING; • 4K AI UPSCALING; • SELF ILLUMINATING PIXELS; • REAL DEPTH ENHANCER; • MOTION XCELERATOR 120Hz TECHNOLOGY; • COLOR BOOSTER PRO; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH; • CONTOUR DESIGN; • SIMPLE LINEAR STAND TYPE; • 4 X HDMI + 2 X USB; • 1 X ETHERNET (LAN); BARCODE: 8806097007579"
SAMSUNG 85″ 4K NEO Q LED TV SERIES 6 : QA85QN85FAU,"KSh399,990.00",https://samsutech.net/wp-content/uploads/2023/07/in-qled-qn85f-qa55qn85faulxl-545964846.png,https://samsutech.net/product/samsung-85-4k-neo-q-led-tv-series-6-qa85qn85fau/,SAMSUNG 85″ 4K NEO Q LED TV SERIES 6 : QA85QN85FAU,"SAMSUNG 4K NEO Q LED TV; • 3,840 X 2,160 4K RESOLUTION; • 100Hz MOTION REFRESH RATE; • NQ4 AI Gen2 PROCESSOR; • NEO QUANTUM HDR+ SUPPORT; • 4K AI UPSCALING; • QUANTUM MINI LED PRO CONTRAST; • SUPREME UHD MICRO DIMMING; • MOTION XCELERATOR 144Hz TECHNOLOGY; • COLOR BOOSTER PRO; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY; • BLUETOOTH & WIFI; • 4 X HDMI + 2 X USB; • 1 X ETHERNET (LAN); • SIMPLE CHAMFER DESIGN; • METAL AERO CENTER STAND TYPE; BARCODE: 8806097001928"
SAMSUNG 26 KG WASHING MACHINE: WF90F26ADSNQ,"KSh189,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-3.png,https://samsutech.net/product/samsung-26-kg-washing-machine-wf90f26adsnq/,SAMSUNG 26 KG WASHING MACHINE: WF90F26ADSNQ,SAMSUNG WASHING MACHINE; • 26 KG WASHING CAPACTIY; • 1100 RPM SPIN SPEED; • 7” COLOR LCD CONTROL PANEL; • DIRECT DRIVE INVERTER TECHNOLOGY MOTOR; • AI WASH; • AI ECO BUBBLE TECHNOLOGY; • CHILD LOCK; • SWIRL PLUS DRUM TYPE; • 15 MINUTE QUICK WASH; • WIFI EMBEDDED; • SMART THINGS APP SUPPORT; • BLACK DECO DOOR + GLASS; • BODY COLOR: DARK STEEL; • NETT DIMENSIONS (WXHXD); 686X984X875MM; Barcode: 8806097356004
SAMSUNG 85″ 4K Q LED TV: QA85Q7FAAU,"KSh239,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-5.png,https://samsutech.net/product/samsung-85-4k-q-led-tv-qa85q7faau/,SAMSUNG 85″ 4K Q LED TV: QA85Q7FAAU,"SAMSUNG 85” Q LED TV; • 3,840 x 2,160 4K UHD RESOLUTION; • 50Hz MOTION REFRESH RATE; • Q4 AI PROCESSOR; • QUANTUM HDR; • HDR 10+ SUPPORT; • 4K AI UPSCALING; • SUPREME UHD DIMMING; • MOTION XCELERATOR TECHNOLOGY; • OBJECT TRACKING SOUND LITE; • BIXBY (VOICE READY) + WEB BROWSER; • APPLE AIR PLAY + BLUETOOTH; • SLIM LOOK DESIGN; • FLAT FEET NARROW STAND TYPE; • 3 X HDMI + 1 X USB + 1 X ETHERNET (LAN); Barcode: 8806097191902"
SAMSUNG CHEST FREEZER: RI70F37V2GAUT,"KSh79,990.00",https://samsutech.net/wp-content/uploads/2025/09/Untitled-design-2.png,https://samsutech.net/product/samsung-chest-freezer-ri70f37v2gaut/,SAMSUNG CHEST FREEZER: RI70F37V2GAUT,SAMSUNG CHEST FREEZER; • 371 LITRES CAPACITY; • AC COMPRESSOR; • 45dBA NOICE LEVEL; • POWER FREEZER FUNCTION; • EASY FREEZE CONTROL; • INTERIOR LED LIGHTING; • 2 MOVABLE WIRED BASKETS INCLUDED; • KEY LOCK; • BAR HANDLE TYPE; • COLOR: DARK GREY; • NETT DIMENSIONS (WXHXD); 1300X850X700MM; Barcode: 8806097355229
